ATP Doha	07/01/2015	2e tour	Nikoloz Basilashvili	113	Ivo Karlovic	23	6	3	x	x	x	x	7	6	x	x	x	x
ATP Doha	07/01/2015	2e tour	David Ferrer	7	Fernando Verdasco	49	6	6	x	x	x	x	3	2	x	x	x	x
ATP Doha	07/01/2015	2e tour	Dustin Brown	118	Jan-Lennard Struff	107	7	6	x	x	x	x	6	4	x	x	x	x
ATP Doha	07/01/2015	2e tour	Richard Gasquet	9	Simone Bolelli	58	6	6	x	x	x	x	3	2	x	x	x	x
ATP Doha	07/01/2015	2e tour	Blaž Kavcic	151	Tomáš Berdych	6	1	2	x	x	x	x	6	6	x	x	x	x
ATP Doha	07/01/2015	2e tour	Andreas Seppi	29	João Souza	142	7	6	x	x	x	x	5	2	x	x	x	x
ATP Doha	07/01/2015	2e tour	Ivan Dodig	87	Michael Berrer	115	7	6	x	x	x	x	6	2	x	x	x	x
ATP Doha	08/01/2015	Quart de finale	Novak Djokovic	1	Ivo Karlovic	23	7	6	4	x	x	x	6	7	6	x	x	x
ATP Doha	08/01/2015	Quart de finale	David Ferrer	7	Dustin Brown	118	6	6	x	x	x	x	2	2	x	x	x	x
ATP Doha	08/01/2015	Quart de finale	Richard Gasquet	9	Tomáš Berdych	6	2	1	x	x	x	x	6	6	x	x	x	x
ATP Doha	08/01/2015	Quart de finale	Andreas Seppi	29	Ivan Dodig	87	7	6	x	x	x	x	5	4	x	x	x	x
ATP Doha	09/01/2015	Demi-finale	Ivo Karlovic	23	David Ferrer	7	7	6	6	x	x	x	6	7	7	x	x	x
ATP Doha	09/01/2015	Demi-finale	Tomáš Berdych	6	Andreas Seppi	29	6	6	x	x	x	x	2	3	x	x	x	x
ATP Doha	10/01/2015	Finale	David Ferrer	7	Tomáš Berdych	6	6	7	x	x	x	x	4	5	x	x	x	x
ATP Sydney	12/01/2015	1er tour	Fabio Fognini	21	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Juan Martín del Potro	10000	Sergiy Stakhovsky	62	6	7	x	x	x	x	3	6	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Denis Istomin	61	Mikhail Kukushkin	65	3	6	x	x	x	x	6	7	x	x	x	x
